word,type_id
baitulmal,2
baitulmukadas,2
baja,2
bajaj,2
bajak,2
bajan,2
bajang,2
bajar,4
bajau,2
bajetah,2
baji,2
bajigur,2
bajik,2
bajing,2
baju,2
bajul,2
bak,2
baka,1
bakak,4
bakal,2
bakalaureat,2
bakam,2
bakap,2
bakar,4
bakarat,2
bakas lewu,2
bakat,2
bakau,2
bakda,0
bakdahu,0
bakdu,0
bakdul,2
bakelit,2
bakero,1
bakh,1
bakhil,1
baki,2
bakiak,2
bakik,2
bakir,2
bakmi,2
bako,2
bakpao,2
bakpia,2
baksi,2
baksis,2
bakso,2
baktau,2
bakteremia,2
bakteri,2
bakterin,2
bakteriofag,2
bakteriolisis,2
bakteriolog,2
bakteriologi,2
bakteriostatik,2
bakterisida,2
bakti,2
baku,2
bakul,2
bakung,2
bakup,1
bakut,4
bakwan,2
bal,2
bala,2
balabad,2
balad,2
balada,2
balah,4
balai,2
balairung,2
balak,1
balalaika,2
balam,2
balan,2
balang,2
balangkep,2
balans,2
balap,2
balar,1
balas,4
balas dendam,4
balau,2
balela,4
balen,2
balerina,2
balerong,2
balet,2
balgam,2
balian,2
balig,1
baliho,2
balik,2
baling,2
balistik,1
balistika,2
baliu,4
balkas,2
balkon,2
balneologi,2
balneoterapi,2
balok,2
balon,2
balong,2
balot,2
balsam,2
balseros,2
balu,2
baluarti,2
baluh,2
balui,4
baluk,2
balun,4
balung,2
balur,2
balut,2
bam,2
bambam,2
bambang,1
bambu,2
bambung,1
ban,2
bana,2
banal,1
banang,1
banar,2
banat,2
bancak,2
bancang,4
bancar,1
bancet,2
banci,1
bancik,2
bancuh,1
bancut,4
banda,2
bandan,2
bandang,1
bandar,2
bandara,2
bandarsah,2
bandasrayan,2
bandea,2
bandel,1
bandela,2
bandeng,2
bandering,2
banderol,2
banding,2
bandit,2
banditisme,2
bando,2
bandongan,2
bandos,2
bandot,2
bandrek,2
bandu,2
bandul,2
bandung,2
bandusa,2
bandut,2
bang,2
bangai,1
bangan,2
bangang,2
bangar,2
bangas,2
bangat,1
bangau,2
bangbung,2
banget,5
bangga,1
banggan,2
bangir,1
bangkah,1
bangkai,2
bangkal,2
bangkang,1
bangkar,1
bangkas,1
bangkasan,2
bangkeh,2
bangket,2
bangking,2
bangkir,1
bangkis,4
bangkit,4
bangkong,2
bangkot,1
bangkrut,4
bangku,2
bangkut,1
banglas,1
bangle,2
banglo,2
bango tolak,2
bangor,1
bangpak,1
bangsa,2
bangsai,1
bangsal,2
bangsat,2
bangsawan,2
bangsi,2
bangun,4
bangus,2
bani,2
banian,2
baning,2
banir,2
banjang,2
banjar,2
banji,2
banjir,4
banjur,4
bank,2
bankir,2
bantah,2
bantai,2
bantal,2
bantam,2
bantar,4
bantaran,2
bantat,1
bantau,1
banteng,2
banter,1
banting,4
bantu,4
bantun,4
bantut,4
banua,2
banyak,1
banyo,2
banyol,1
